"","Season","Region","Year","alewife","bass striped","butterfish","cod atlantic","crab atlantic rock","crab green","crab jonah","crab northern stone","crab red","cucumber sea","cunner","cusk","dogfish spiny","flounder atlantic witch (gray sole)","flounder winter","flounder yellowtail","haddock","hake atlantic red","hake silver (whiting)","hake white","halibut atlantic","herring atlantic","herring blueback","lobster american","lumpfish","mackerel atlantic","menhaden atlantic","monkfish","mussel horse","plaice american (dab)","pollock","pout ocean","redfish acadian ocean perch","scallop sea","sculpin longhorn","scup","sea raven","shad american","skate barndoor","skate clearnose","skate little","skate smooth","skate thorny","skate winter","smelt rainbow","squid long finned","squid short-finned","sturgeon atlantic","torpedo atlantic","wolffish atlantic","YEAR_GROUPS","YEAR_DECADES","REGION_NEW","REGION_YEAR","SEASON_YEAR"
"1","Fall",1,2000,5.38038437608333,0,0.351851851833333,1.98287037033333,0.2225,0,0.05,0,0,0,1,0,44.116339869,0.702745098,4.74214130115,5.39575163444444,6.235294118,7.14975101176667,30.5398537183333,2.79812636162222,0,17.812962963,0,16.7584982884,0,4.4095238095,0.1,2.93734827253333,0,4.3733986928,0.2656862745,0.117647059,0.0872222221666667,0.932901234555556,3.10089091191111,1.7625,1.04413580244444,0.223809523666667,0,0,3.48772175533333,0,1.25,6.18627450966667,1.7,4.02418300655556,2.41666666666667,0,0,0,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"2","Fall",1,2001,11.4228835983333,0,2.84283068784444,0.352081128833333,2.84166666675,0,4.25804232805556,0,0,0,0.1833333335,0,52.9981481483333,6.93919753066667,5.18220899472222,3.36544973551111,0.954197530888889,12.4620811286667,57.5888447988889,3.53335097,0.053333333,19.8014285715,0,22.4043386246889,0,0.85,0,12.0948853616667,0,7.51538800722222,0.113095238,0.77175925925,7.8250793652,1.63925925922222,2.517989418,0,1.15543209877778,0.292857143,0,0,4.36666666666667,0.918518518666667,7.772486774,3.075,0,0.91833333325,0.629563492083333,0,15.85,0,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"3","Fall",1,2002,4.14547619041667,0,3.30431827433333,2.223095238,0.06,0,0.471190476,0,0,0.28,0.02,0,66.7731776513889,4.001547619125,1.03634106633333,2.0774358975,0.42,9.13610500630556,30.6597710626111,2.89579365075,0,14.02362332125,1.8,11.5014652017778,0,0.759706959555556,0,20.1153764756667,0,2.81286324786111,4.42,0,0.0753968253333333,0.0753846155,1.24921245425,0,0.304761905,0.1,0,0,3.969230769,0,0,0,0.02,1.06569291813889,0.62,0,0,0,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"4","Fall",1,2003,4.924375,0,3.523125,10.37,0,0,0.44,0.48,0,0,1.435,0,50.6739583333333,4.21888888888889,10.5508333333333,3.03,2.02833333333333,14.7194444444444,33.1433333333333,3.74,0,16.6660416666667,1.26916666666667,24.8852083333333,4.73,6.3475,0,10.6772222222222,0.01,12.45625,0.426666666666667,0.5,14.005,0.05,1.58416666666667,0.24,0.86,0.258333333333333,0,0,4.69,1.195,7.68,0,0.0575,0.37,0.686666666666667,0,0,0,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"5","Fall",1,2004,6.528252924,0,3.23057017541667,4.61611111116667,0,0,0.290760233916667,0,0,0,3.493333333,0,259.055975916667,3.73098440544444,6.3983991225,6.137894737,0.456666666722222,6.65157894733333,57.1057711983333,5.16152046783333,0,100.392116228333,0.339166666666667,5.30509868416667,4.58,0.88,0.02,9.48052266058333,0.133333333,10.0834015596667,0.48,0.5925,7.90777777777778,0.08,2.43304093566667,19.6,1.390877193,0.6025,0,0,2.615,0,4.57460038988889,6.14,3.5,2.31419103322222,0.481666666666667,0,0,0,"2000-2004","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2000-2004","Fall, 2000-2004"
"6","Fall",1,2005,3.78149122808333,0,0.774210526277778,13.40315789475,0.231578947,0,0.445438596444444,0,0,0,0.54,0,157.544385964833,0.6,6.59678362572222,2.49,18.15271929825,4.33777777777778,8.86499999991667,1.38444444444444,0.05,18.5334649122917,0.742222222333333,31.5613450294444,0,8.70274853811111,0.1,3.70888888888889,0,12.0366666666667,0.86,0.31,192.643333333333,0.0731578945,2.156666666625,0,1.20222222216667,1.145,0,0,0.7165789475,1.84,2.4175,0,3.8533333335,0.290584795333333,0.56,0,0,0,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"7","Fall",1,2006,3.77107174683333,0.644444444,7.44838569497917,24.1475757575,0,0,0.830952663888889,0,0,0,2.19149732616667,0,75.5884519458333,1.5625,4.01274806897222,1.7395588235,16.5670588236667,2.90299019610417,11.1689759358125,1.276507353,0,4.8486134135625,0.925185185333333,14.4981982323333,2.92,6.93,0.055555556,5.52965686275,0,7.69141599822917,0.2,0.155606060666667,1.68743196666667,0.0116666665,2.318219697,0,2.04925232708333,0.372222222222222,0,0,1.36370370366667,0.9,3.31377450966667,0,0.8133333335,3.92422311341667,1.4879407309375,0,0,0,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"8","Fall",1,2007,2.40493838770833,0,1.409728836,16.9121813725,0.41863324175,0,0.89595283275,0.482352941,0.24,0,0.790544871833333,0,217.467856940417,2.50825220716667,11.3418886156667,6.13909806566667,0.2284210525,5.85026912283333,22.9244436723333,5.23600160645833,0.533333333,9.71677158141667,1.457184628,14.640221288,2.4080650155,0.910363247833333,0,2.84883162766667,0,10.8705269173125,0,0.189736842125,12.2093823335556,0.573389894458333,4.54691239277778,0,1.52482616816667,1.719755501125,0.86,0,3.67160256416667,1.6394117645,6.93339869277778,4.76,0.028571429,0.07038690475,0.7026343739375,0,0,0,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"9","Fall",1,2008,1.49764601141667,0,2.18850427361111,2.26444444444444,0.893333333333333,0,0.906419753111111,0.06,0.36,0,0.214333333333333,0,172.966481481667,3.2935185185,2.18144349477778,2.2114814815,0.03,5.773935185,59.47439815,5.65000712258333,0.32,21.6742592591667,0.27,19.5984437325,1.2,0.04,0,8.35043209877778,0,20.9170061728889,0,0.3080555555,2.40679012344444,0.3975,2.0975,0,3.08367521375,0.665833333333333,0.66,0,0.957222222,1.12,4.40592592588889,3.538461538,0.726923077,0.355402421583333,0.488518518555556,30,12.02222222,0,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
"10","Fall",1,2009,15.351791666625,0,2.80109722225,3.09833333333333,0.2633333335,0,0.288333333416667,0,0,3.02,1.315,0,95.95075,1.47083333333333,4.05240740744444,1.62583333333333,0.095,4.3705,35.7387083333333,5.274083333375,0.02,21.54775,1.71333333333333,19.6160833333333,2.405,0.5966666665,0,7.196,0.06,10.50725,0.21,0.237777777777778,5.39944444444444,0.145,1.7025,0.05,1.2225,0.907083333333333,0,0,3.45333333333333,0,1.72,0,0.2866666665,0.815180555583333,2.55916666666667,0,6.34,0,"2005-2009","2000-2009","West of Penobscot Bay","West of Penobscot Bay, 2005-2009","Fall, 2005-2009"
